race_of_mother,low_birth_weight
African American (Black),0.6222966105911032
Asian or Pacific Islander/Hawaiian,0.8971717626820127
Native American,0.9690835480309165
Unknown/Not Reported,0.9251696508870901
White,0.8072505273391094
